# Level density parameters for EGSM, Gilbert & Cameron (EMPIRE) and GSM (RIPL-2) models (2I4,1x,a2,f4.1,1x,F7.3,3E14.5,5f8.4,I4,1x,5(f8.3))
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da    a-EGSM    -da   a_sys   a-G&C   Nc     om2    DelO     aas     aerr   shift 
#                [MeV]    [keV]         [keV]         [MeV]        [1/MeV] [1/MeV] [1/MeV] [1/MeV] [1/MeV]       [MeV]   [MeV]  [1/MeV]  [1/MeV] [MeV] 
#-----------------------------------------------------------------------------------------------------------------------------------------------------
  46 111 Pd   .0  5.726    .27500E+00    .80000E-01    .37900E+01   .5976 12.1651   .4357 11.1370 18.1300  18     .362   1.139  12.509   1.272    .372   
  47 108 Ag   .5  7.271    .28000E-01    .20000E-02    .24700E+01   .0855  9.8124   .0792  9.6360 15.3700  30     .534   1.155   9.478    .306    .349   
  47 110 Ag   .5  6.809    .18000E-01    .10000E-02    .32000E+01   .0756 11.1086   .0714 10.3360 16.7500  14     .516   1.144  11.048    .233    .335   
  48 107 Cd   .0  7.924    .16500E+00    .35000E-01    .51700E+00   .2595  8.7920   .2048  8.3320 14.9000  30     .633   1.160   8.836    .400    .849   
  48 109 Cd   .0  7.327    .12000E+00    .30000E-01    .15930E+01   .3751 10.0522   .2851  9.2170 16.1500  21     .645   1.149   9.968    .526    .847   
  48 111 Cd   .0  6.976    .15500E+00    .20000E-01    .22660E+01   .1911 10.3902   .1663  9.8730 16.5800  24     .639   1.139   9.330    .267   1.041   
  48 112 Cd   .5  9.394    .27000E-01    .20000E-02    .22320E+01   .0915 10.0210   .0847  9.8370 15.6600  30     .620   1.134   9.510    .327    .884   
  48 113 Cd   .0  6.540    .19000E+00    .25000E-01    .26910E+01   .2107 10.9535   .1831 10.3930 17.1900  25     .589   1.129   9.954    .339    .858   
  48 114 Cd   .5  9.043    .24800E-01    .26000E-02    .24390E+01   .1422 10.6129   .1272 10.1750 16.2600  30     .558   1.124   9.685    .192    .675   
  48 115 Cd   .0  6.141    .21000E+00    .20000E-01    .27540E+01   .1590 11.4347   .1435 10.6580 17.9500  10     .534   1.119  11.681    .618    .557   
  48 117 Cd   .0  5.777    .70400E+00    .27000E+00    .24680E+01   .7652 10.1904   .4989 10.6510 18.1200  12     .500   1.109   9.864    .655    .768   
  49 114 In  4.5  7.274    .10700E-01    .80000E-03    .20740E+01   .0891  9.4469   .0819  9.8930 15.8200  19     .929   1.124  10.338    .463    .484   
  49 116 In  4.5  6.785    .95000E-02    .50000E-03    .22930E+01   .0694 10.2362   .0656 10.2480 16.2900  10     .903   1.114  12.108    .147    .582   
  50 113 Sn   .0  7.743    .15800E+00    .47000E-01    .79100E+00   .4086  9.0707   .2924  8.9830 15.1500  30    1.278   1.129  11.952    .754    .935   
  50 115 Sn   .0  7.546    .28600E+00    .11000E+00    .90100E+00   .5583  8.6236   .3583  9.2210 15.0000  30    1.296   1.119  12.089    .907    .584   
  50 117 Sn   .0  6.943    .45000E+00    .50000E-01    .12050E+01   .1462  8.8025   .1292  9.6180 15.4000  30    1.232   1.109  12.238    .924    .787   
  50 118 Sn   .5  9.327    .61000E-01    .70000E-02    .88200E+00   .1310  8.9200   .1153  9.4250 15.1000  30    1.229   1.105  10.845    .188    .990   
  50 119 Sn   .0  6.484    .70000E+00    .15000E-01    .11080E+01   .0285  8.8418   .0275  9.7270 15.6600  30    1.200   1.100  13.106    .643    .856   
  50 120 Sn   .5  9.108    .90000E-01    .20000E-01    .46700E+00   .2697  8.6492   .2102  9.3010 15.0500  15    1.172   1.095  10.106    .417   1.025   
